Aktivitetstype,Dato,Favoritt,Tittel,Avstand,Kalorier,Tid,Gjennomsnittlig puls,Makspuls,Aerob treningseffekt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Gjennomsnittlig tempo,Beste tempo,Total stigning,Totalt fall,Gjennomsnittlig skrittlengde,Gjennomsnittlig vertikalt forholdstall,Gjennomsnittlig vertikal oscillasjon,Gjennomsnittlig tid med bakkekontakt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Training Stress Score®,Gjennomsnittlig kraft,Maksimal kraft,Vanskelighetsgrad,Flyt,Totalt antall tak,Gjennomsnittlig Swolf,Gjennomsnittlig tempo for tak,Totalt antall repetisjoner,Totalt antall sett,Dykketid,Minimumstemperatur,Overflateintervall,Dekompresjon,Beste rundetid,Antall runder,Makstemperatur,Tid i bevegelse,Medgått tid,Minste høyde,Maksimal høyde
Styrketrening,2022-06-16 20:45:00,false,"Styrke","0.00","352","01:11:15","97","149","0.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","7","1","0:00","27.0","0:00","Nei","01:11:15.30.9","1","0.0","01:11:15","01:11:15","--","--"
Styrketrening,2022-06-15 14:35:10,false,"Styrke","0.00","286","00:54:21","99","127","0.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","26.0","0:00","Nei","54:20.96.6","1","0.0","00:54:21","00:54:21","--","--"
Styrketrening,2022-06-13 13:52:09,false,"Styrke","0.00","322","01:08:35","95","120","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","6","1","0:00","26.0","0:00","Nei","01:08:35.13.9","1","0.0","01:08:35","01:08:35","--","--"
Styrketrening,2022-06-11 13:14:52,false,"Styrke","0.00","236","00:48:27","95","117","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","11","1","0:00","26.0","0:00","Nei","48:27.03.9","1","0.0","00:48:27","00:48:27","--","--"
Gåtur,2022-06-09 18:30:30,false,"Oslo Gåtur","5.69","386","01:07:30","84","106","0.4","103","157","11:51","8:59","65","60","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","07:47.40.3","6","0.0","01:03:38","01:16:09","12","46"
Styrketrening,2022-06-09 14:14:11,false,"Styrke","0.00","252","00:45:27","101","131","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","16","2","0:00","27.0","0:00","Nei","45:26.81.1","1","0.0","00:45:13","00:45:28","--","--"
Styrketrening,2022-06-08 12:44:08,false,"Styrke","0.00","332","01:06:08","98","138","0.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","23.0","0:00","Nei","01:06:07.92.5","1","0.0","01:06:08","01:06:08","--","--"
Sykling,2022-06-07 19:11:37,false,"Oslo Sykling","6.77","235","00:20:19","137","161","2.1","0","0","20.0","37.3","50","30","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Nei","06:13.75.2","2","0.0","00:20:17","00:20:19","12","44"
Innendørssykling,2022-06-07 18:00:30,false,"Innendørssykling","0.00","784","00:53:00","168","193","4.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Nei","12:55.00.4","2","0.0","00:00:00","00:53:00","--","--"
Sykling,2022-06-07 17:09:25,false,"Oslo Sykling","5.32","165","00:13:45","138","174","2.3","0","0","23.2","34.6","41","55","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Nei","01:26.47.8","2","0.0","00:13:32","00:14:37","6","42"
